query_id,market,city,raw_query,results_shown,clicked,purchased,date,segment,query_volume
Q000055,GB,Glasgow,skydiving,0,0,0,2026-06-30,no-inventory intent,91
Q000056,GB,London,personal trainer,1,0,0,2026-06-29,core query,72
Q000057,GB,Birmingham,pilates,17,0,0,2026-06-23,core query,72
Q000058,GB,London,couplles massage,17,0,0,2026-06-14,misspelling,2
Q000059,GB,Birmingham,back massage,0,0,0,2026-06-17,core query,78
Q000060,GB,Glasgow,hair colour,0,0,0,2026-06-24,core query,85
Q000061,GB,London,indian restaurant,2,0,0,2026-06-24,core query,85
Q000062,GB,Birmingham,hair colour,21,1,0,2026-06-04,core query,85
Q000063,GB,London,manicure,23,0,0,2026-06-24,core query,74
Q000064,GB,Glasgow,city tour,16,1,1,2026-06-14,core query,72
Q000065,GB,Birmingham,deep tissue massage,1,0,0,2026-06-23,core query,77
Q000066,GB,Manchester,haircut,0,0,0,2026-06-07,core query,79
Q000067,GB,London,go karting,20,0,0,2026-06-18,core query,73
Q000068,GB,London,couples massage,0,0,0,2026-06-10,core query,70
Q000069,GB,London,steak dinner,25,0,0,2026-06-13,core query,85
Q000070,GB,London,gym,13,0,0,2026-06-05,core query,88
Q000071,GB,London,eyelash extensions,1,0,0,2026-06-05,core query,87
Q000072,GB,London,hair colour,23,0,0,2026-06-15,core query,85
Q000073,GB,London,escape room,25,1,0,2026-06-25,core query,87
Q000074,GB,London,haircut,17,1,1,2026-06-22,core query,79
Q000075,GB,Glasgow,escape room,18,1,0,2026-06-07,core query,87
Q000076,GB,London,back massage,2,0,0,2026-06-23,core query,78
Q000077,GB,London,city tour,19,0,0,2026-06-28,core query,72
Q000078,GB,London,personal trainer,22,1,1,2026-06-07,core query,72
Q000079,GB,Glasgow,paintball,0,0,0,2026-06-05,core query,102
Q000080,GB,London,steak dinner,18,0,0,2026-06-21,core query,85
Q000081,GB,London,yoga class,23,1,0,2026-06-08,core query,74
Q000082,GB,Manchester,helicopter tour,0,0,0,2026-06-19,no-inventory intent,100
Q000083,GB,Manchester,paintball,10,0,0,2026-06-22,core query,102
Q000084,GB,Birmingham,hair colour,12,0,0,2026-06-22,core query,85
Q000085,GB,London,escape room,9,1,0,2026-06-07,core query,87
Q000086,GB,London,eyelash extensions,1,0,0,2026-06-25,core query,87
Q000087,GB,London,yoga class,20,0,0,2026-06-18,core query,74
Q000088,GB,London,hot air balloon ride,0,0,0,2026-06-11,no-inventory intent,94
Q000089,GB,London,brunch,15,0,0,2026-06-16,core query,76
Q000090,GB,Birmingham,crossfit,5,1,1,2026-06-23,core query,84
Q000091,GB,Glasgow,go karting,26,0,0,2026-06-30,core query,73
Q000092,GB,London,escape room,0,0,0,2026-06-13,core query,87
Q000093,GB,Glasgow,facial,5,0,0,2026-06-15,core query,86
Q000094,GB,Manchester,escape room,25,1,0,2026-06-12,core query,87
Q000095,GB,London,paintball,17,0,0,2026-06-14,core query,102
Q000096,GB,Manchester,paintball,1,1,0,2026-06-30,core query,102
Q000097,GB,London,thai massage,0,0,0,2026-06-27,core query,76
Q000098,GB,London,city tour,1,0,0,2026-06-04,core query,72
Q000099,GB,Manchester,pizza deal,0,0,0,2026-06-05,core query,86
Q000100,GB,Manchester,paintball,16,1,0,2026-06-15,core query,102
Q000101,GB,Manchester,pizza deal,15,1,0,2026-06-01,core query,86
Q000102,GB,London,hot air balloon ride,0,0,0,2026-06-07,no-inventory intent,94
Q000103,GB,Birmingham,gym,2,0,0,2026-06-23,core query,88
Q000104,GB,Manchester,pizza deal,16,0,0,2026-06-28,core query,86
Q000105,GB,London,bowling,17,0,0,2026-06-25,core query,73
Q000106,GB,London,yoga class,0,0,0,2026-06-22,core query,74
Q000107,GB,London,steak dinner,2,0,0,2026-06-18,core query,85
Q000108,GB,Manchester,supercar track day,0,0,0,2026-06-06,no-inventory intent,85
Q000109,GB,London,supercar track day,0,0,0,2026-06-03,no-inventory intent,85
Q000110,GB,London,facial,7,0,0,2026-06-02,core query,86
Q000111,GB,Manchester,crossfit,2,0,0,2026-06-21,core query,84
Q000112,GB,Manchester,paintball,2,1,1,2026-06-26,core query,102
Q000113,GB,London,sports massage,0,0,0,2026-06-30,core query,74
Q000114,GB,Glasgow,yog class,12,1,0,2026-06-11,misspelling,2
Q000115,GB,Birmingham,crossfit,4,0,0,2026-06-06,core query,84
Q000116,GB,Birmingham,bowling,1,0,0,2026-06-29,core query,73
Q000117,GB,Glasgow,brunch,19,0,0,2026-06-03,core query,76
Q000118,GB,London,steak dinner,1,0,0,2026-06-27,core query,85
Q000119,GB,London,indian restaurant,13,1,0,2026-06-13,core query,85
Q000120,GB,London,deep tissuue massage,12,1,0,2026-06-19,misspelling,1
Q000121,GB,London,eyelash extensions,0,0,0,2026-06-09,core query,87
Q000122,GB,Manchester,pizza deal,2,0,0,2026-06-22,core query,86
Q000123,GB,Manchester,pizza deal,6,1,1,2026-06-30,core query,86
Q000124,GB,London,helicopter tour,0,0,0,2026-06-19,no-inventory intent,100
Q000125,GB,London,pizza deal,13,1,0,2026-06-14,core query,86
Q000126,GB,London,couples massage,1,0,0,2026-06-25,core query,70
Q000127,GB,Birmingham,haircut,31,0,0,2026-06-22,core query,79
Q000128,GB,London,thai massage,19,0,0,2026-06-29,core query,76
Q000129,GB,Glasgow,escape room,1,0,0,2026-06-23,core query,87
Q000130,GB,Birmingham,sports massage,20,1,1,2026-06-19,core query,74
Q000131,GB,Manchester,helicopeer tour,0,0,0,2026-06-16,misspelling,1
Q000132,GB,London,yoga class,11,1,1,2026-06-09,core query,74
Q000133,GB,London,haircut,22,1,0,2026-06-24,core query,79
Q000134,GB,Manchester,back massage,0,0,0,2026-06-09,core query,78
Q000135,GB,Birmingham,sushi,1,0,0,2026-06-06,core query,71
Q000136,GB,London,brunch,0,0,0,2026-06-13,core query,76
Q000137,GB,London,gym,1,0,0,2026-06-20,core query,88
Q000138,GB,London,eyelash extesions,2,0,0,2026-06-18,misspelling,2
Q000139,GB,Glasgow,hair colour,1,0,0,2026-06-06,core query,85
Q000140,GB,London,facial,23,1,0,2026-06-30,core query,86
Q000141,GB,London,deep tissue massage,13,1,0,2026-06-21,core query,77
Q000142,GB,Manchester,skydiving,0,0,0,2026-06-19,no-inventory intent,91
Q000143,GB,Birmingham,hot air billoon ride,0,0,0,2026-06-16,misspelling,1
Q000144,GB,London,helicopter tour,0,0,0,2026-06-20,no-inventory intent,100
Q000145,GB,Manchester,paintball,8,0,0,2026-06-15,core query,102
Q000146,GB,Glasgow,escape room,2,0,0,2026-06-17,core query,87
Q000147,GB,Manchester,indian restaurant,1,0,0,2026-06-03,core query,85
Q000148,GB,London,helicopter tour,0,0,0,2026-06-03,no-inventory intent,100
Q000149,GB,London,go karting,33,1,0,2026-06-25,core query,73
Q000150,GB,Manchester,facial,25,1,0,2026-06-30,core query,86
Q000151,GB,Manchester,city tour,12,1,0,2026-06-27,core query,72
Q000152,GB,London,facial,32,0,0,2026-06-13,core query,86
Q000153,GB,Birmingham,yoga class,19,0,0,2026-06-24,core query,74
Q000154,GB,London,sushi,0,0,0,2026-06-05,core query,71
Q000155,GB,Manchester,escape room,1,0,0,2026-06-27,core query,87
Q000156,GB,London,deeptissue massage,2,0,0,2026-06-15,misspelling,1
Q000157,GB,London,go karting,29,0,0,2026-06-19,core query,73
Q000158,GB,London,sports massage,20,0,0,2026-06-18,core query,74
Q000159,GB,Manchester,steak dinner,2,0,0,2026-06-26,core query,85
Q000160,GB,London,facial,18,1,0,2026-06-13,core query,86
Q000161,GB,London,city tour,2,0,0,2026-06-30,core query,72
Q000162,GB,Birmingham,helicopter tour,0,0,0,2026-06-23,no-inventory intent,100
Q000163,GB,Birmingham,hair colour,12,0,0,2026-06-16,core query,85
Q000164,GB,London,facial,1,0,0,2026-06-18,core query,86
Q000165,GB,Glasgow,sports massage,22,1,1,2026-06-15,core query,74
Q000166,GB,London,hot air balloon ride,0,0,0,2026-06-17,no-inventory intent,94
Q000167,GB,London,supercar track day,0,0,0,2026-06-21,no-inventory intent,85
Q000168,GB,Glasgow,personal trainer,2,0,0,2026-06-10,core query,72
Q000169,GB,Glasgow,couples massage,12,0,0,2026-06-09,core query,70
Q000170,GB,Manchester,thai massage,19,1,1,2026-06-04,core query,76
Q000171,GB,London,manicure,19,1,0,2026-06-19,core query,74
Q000172,GB,Manchester,shark diving,0,0,0,2026-06-15,no-inventory intent,79
Q000173,GB,Glasgow,manicure,7,1,0,2026-06-12,core query,74
Q000174,GB,London,bowling,21,0,0,2026-06-25,core query,73
Q000175,GB,Glasgow,deep tissue massage,2,0,0,2026-06-25,core query,77
Q000176,GB,Manchester,city tour,1,0,0,2026-06-17,core query,72
Q000177,GB,London,sports massage,28,1,0,2026-06-01,core query,74
Q000178,GB,Manchester,hair colour,11,1,0,2026-06-14,core query,85
Q000179,GB,Manchester,skydiving,0,0,0,2026-06-18,no-inventory intent,91
Q000180,GB,Birmingham,escape room,17,1,0,2026-06-03,core query,87
Q000181,GB,London,supercar track day,0,0,0,2026-06-24,no-inventory intent,85
Q000182,GB,London,eyelash extensions,0,0,0,2026-06-08,core query,87
Q000183,GB,Birmingham,haircut,8,1,1,2026-06-23,core query,79
Q000184,GB,London,steak dinner,7,1,0,2026-06-11,core query,85
Q000185,GB,London,couples massage,25,0,0,2026-06-24,core query,70
Q000186,GB,London,supercar track day,0,0,0,2026-06-14,no-inventory intent,85
Q000187,GB,Glasgow,sports massage,38,0,0,2026-06-02,core query,74
Q000188,GB,Glasgow,helicopter tour,0,0,0,2026-06-24,no-inventory intent,100
Q000189,GB,Birmingham,steak dinner,10,1,0,2026-06-25,core query,85
Q000190,GB,London,thai massage,13,1,1,2026-06-27,core query,76
Q000191,GB,London,go karting,10,0,0,2026-06-27,core query,73
Q000192,GB,Glasgow,pizza deal,2,0,0,2026-06-22,core query,86
Q000193,GB,Manchester,helicopter tour,0,0,0,2026-06-01,no-inventory intent,100
Q000194,GB,London,couples massage,23,1,0,2026-06-18,core query,70
Q000195,GB,London,yoga class,17,1,1,2026-06-21,core query,74
Q000196,GB,Birmingham,hair colour,1,0,0,2026-06-05,core query,85
Q000197,GB,London,sports massage,11,1,1,2026-06-15,core query,74
Q000198,GB,Manchester,manicure,2,1,0,2026-06-09,core query,74
Q000199,GB,Manchester,susshi,0,0,0,2026-06-04,misspelling,4
Q000200,GB,Manchester,city tour,1,0,0,2026-06-30,core query,72
Q000201,GB,London,couples massage,13,1,0,2026-06-02,core query,70
Q000202,GB,Birmingham,shark diving,0,0,0,2026-06-22,no-inventory intent,79
Q000203,GB,London,manicure,23,1,0,2026-06-19,core query,74
Q000204,GB,Manchester,steak dinner,12,1,0,2026-06-09,core query,85
Q000205,GB,Birmingham,sushi,38,0,0,2026-06-17,core query,71
Q000206,GB,Glasgow,deep tissue massage,1,0,0,2026-06-16,core query,77
Q000207,GB,Manchester,paintball,1,0,0,2026-06-30,core query,102
Q000208,GB,Birmingham,brunch,4,0,0,2026-06-19,core query,76
Q000209,GB,London,steak dinner,19,0,0,2026-06-27,core query,85
Q000210,GB,Manchester,thai massage,12,1,0,2026-06-11,core query,76
Q000211,GB,Birmingham,facial,6,1,0,2026-06-06,core query,86
Q000212,GB,London,indian restaurant,25,0,0,2026-06-08,core query,85
Q000213,GB,Manchester,facial,14,0,0,2026-06-07,core query,86
Q000214,GB,Birmingham,bowling,11,1,1,2026-06-23,core query,73
Q000215,GB,London,bowling,0,0,0,2026-06-03,core query,73
Q000216,GB,London,escape room,0,0,0,2026-06-07,core query,87
Q000217,GB,London,brunah,17,0,0,2026-06-27,misspelling,1
Q000218,GB,Manchester,helicopter tour,0,0,0,2026-06-22,no-inventory intent,100
Q000219,GB,London,pilates,12,1,1,2026-06-20,core query,72
Q000220,GB,London,back massage,4,0,0,2026-06-26,core query,78
Q000221,GB,Manchester,personal trainer,2,0,0,2026-06-09,core query,72
Q000222,GB,London,shark diving,0,0,0,2026-06-20,no-inventory intent,79
Q000223,GB,London,thai massage,1,0,0,2026-06-11,core query,76
Q000224,GB,London,helicopter tour,0,0,0,2026-06-28,no-inventory intent,100
Q000225,GB,Manchester,personai trainer,2,0,0,2026-06-25,misspelling,1
Q000226,GB,London,paintball,2,0,0,2026-06-02,core query,102
Q000227,GB,London,couples massage,40,0,0,2026-06-29,core query,70
Q000228,GB,Manchester,paintball,24,1,1,2026-06-20,core query,102
Q000229,GB,Birmingham,gym,17,1,0,2026-06-04,core query,88
Q000230,GB,Birmingham,crossfit,19,1,0,2026-06-04,core query,84
Q000231,GB,Manchester,deep tissue massage,23,1,0,2026-06-18,core query,77
Q000232,GB,Birmingham,manicure,0,0,0,2026-06-20,core query,74
Q000233,GB,Glasgow,paintball,1,0,0,2026-06-19,core query,102
Q000234,GB,Manchester,sports massage,23,0,0,2026-06-22,core query,74
Q000235,GB,London,paintball,1,0,0,2026-06-07,core query,102
Q000236,GB,Glasgow,deep tissue massage,25,0,0,2026-06-26,core query,77
Q000237,GB,Manchester,crossfit,1,0,0,2026-06-06,core query,84
Q000238,GB,London,shark diving,0,0,0,2026-06-29,no-inventory intent,79
Q000239,GB,London,yoga class,17,1,0,2026-06-14,core query,74
Q000240,GB,London,paintball,22,1,1,2026-06-28,core query,102
Q000241,GB,London,back massage,8,1,0,2026-06-06,core query,78
Q000242,GB,London,paintball,1,0,0,2026-06-26,core query,102
Q000243,GB,London,bowling,0,0,0,2026-06-08,core query,73
Q000244,GB,Manchester,city touur,1,0,0,2026-06-24,misspelling,1
Q000245,GB,Birmingham,haircut,16,0,0,2026-06-26,core query,79
Q000246,GB,London,helicopter tour,0,0,0,2026-06-07,no-inventory intent,100
Q000247,GB,Glasgow,indian restaurant,36,0,0,2026-06-03,core query,85
Q000248,GB,Birmingham,skydiving,0,0,0,2026-06-30,no-inventory intent,91
Q000249,GB,London,facial,30,0,0,2026-06-29,core query,86
Q000250,GB,Manchester,crossfit,29,0,0,2026-06-09,core query,84
Q000251,GB,London,hair colour,2,1,0,2026-06-13,core query,85
Q000252,GB,Manchester,helicopter tour,0,0,0,2026-06-21,no-inventory intent,100
Q000253,GB,Birmingham,bowling,1,0,0,2026-06-03,core query,73
Q000254,GB,Birmingham,escape room,14,0,0,2026-06-27,core query,87
Q000255,GB,Birmingham,manicure,1,1,0,2026-06-04,core query,74
Q000256,GB,Birmingham,yoga class,0,0,0,2026-06-09,core query,74
Q000257,GB,London,brunch,8,0,0,2026-06-08,core query,76
Q000258,GB,Birmingham,brunch,20,1,1,2026-06-19,core query,76
Q000259,GB,Manchester,gym,11,1,0,2026-06-03,core query,88
Q000260,GB,Manchester,manicure,24,0,0,2026-06-19,core query,74
Q000261,GB,London,gym,1,0,0,2026-06-05,core query,88
Q000262,GB,London,hot air balloon ride,0,0,0,2026-06-08,no-inventory intent,94
Q000263,GB,Glasgow,bowling,24,0,0,2026-06-10,core query,73
Q000264,GB,London,personal trainer,27,0,0,2026-06-03,core query,72
Q000265,GB,Birmingham,hair colour,2,0,0,2026-06-08,core query,85
Q000266,GB,London,crossfit,22,1,0,2026-06-10,core query,84
Q000267,GB,Birmingham,hot air balloon ride,0,0,0,2026-06-24,no-inventory intent,94
Q000268,GB,Glasgow,deep tissue massage,11,1,0,2026-06-26,core query,77
Q000269,GB,Manchester,deep tissue massage,14,1,1,2026-06-22,core query,77
Q000270,GB,London,hot air ballooon ride,0,0,0,2026-06-07,misspelling,1
Q000271,GB,London,couples massagge,20,0,0,2026-06-06,misspelling,1
Q000272,GB,London,thai massage,0,0,0,2026-06-29,core query,76
Q000273,GB,London,steak dinner,2,0,0,2026-06-09,core query,85
Q000274,GB,Manchester,thai massage,25,1,0,2026-06-11,core query,76
Q000275,GB,London,pizza deal,6,1,0,2026-06-25,core query,86
Q000276,GB,Glasgow,skydiving,0,0,0,2026-06-21,no-inventory intent,91
Q000277,GB,London,pizza deal,16,0,0,2026-06-22,core query,86
Q000278,GB,London,pilates,13,1,1,2026-06-28,core query,72
Q000279,GB,Manchester,city tour,22,0,0,2026-06-16,core query,72
Q000280,GB,Glasgow,back massage,23,1,0,2026-06-29,core query,78
Q000281,GB,Manchester,paintball,2,0,0,2026-06-28,core query,102
Q000282,GB,Birmingham,manicure,1,0,0,2026-06-29,core query,74
Q000283,GB,London,personal trainer,24,0,0,2026-06-24,core query,72
Q000284,GB,London,paintball,7,1,0,2026-06-21,core query,102
Q000285,GB,Manchester,gym,25,0,0,2026-06-14,core query,88
Q000286,GB,Manchester,gym,26,1,0,2026-06-29,core query,88
Q000287,GB,London,thai massage,1,0,0,2026-06-28,core query,76
Q000288,GB,London,skydiving,0,0,0,2026-06-19,no-inventory intent,91
Q000289,GB,Manchester,escape room,13,1,1,2026-06-17,core query,87
Q000290,GB,Birmingham,hair colour,16,1,0,2026-06-22,core query,85
Q000291,GB,Birmingham,city tour,0,0,0,2026-06-22,core query,72
Q000292,GB,London,hot air balloon ride,0,0,0,2026-06-27,no-inventory intent,94
Q000293,GB,Birmingham,shark diving,0,0,0,2026-06-28,no-inventory intent,79
Q000294,GB,London,hot air balloon ride,0,0,0,2026-06-18,no-inventory intent,94
Q000295,GB,Birmingham,escape room,13,0,0,2026-06-29,core query,87
Q000296,GB,London,susshi,0,0,0,2026-06-12,misspelling,4
Q000297,GB,London,gym,8,1,1,2026-06-01,core query,88
Q000298,GB,Glasgow,manicure,23,0,0,2026-06-08,core query,74
Q000299,GB,London,go karting,20,0,0,2026-06-08,core query,73
Q000300,GB,Manchester,pizza deal,10,1,1,2026-06-28,core query,86
Q000301,GB,Birmingham,deep tissue massage,2,0,0,2026-06-24,core query,77
Q000302,GB,Birmingham,personal trainer,2,1,0,2026-06-29,core query,72
Q000303,GB,London,pizza deal,0,0,0,2026-06-22,core query,86
Q000304,GB,Manchester,paintball,20,0,0,2026-06-04,core query,102
Q000305,GB,London,gym,2,0,0,2026-06-05,core query,88
Q000306,GB,Birmingham,haircut,13,1,0,2026-06-16,core query,79
Q000307,GB,Manchester,hair colour,1,0,0,2026-06-17,core query,85
Q000308,GB,London,couples massage,6,0,0,2026-06-03,core query,70
Q000309,GB,Glasgow,sports assage,12,1,0,2026-06-06,misspelling,1
Q000310,GB,London,supercar track day,0,0,0,2026-06-05,no-inventory intent,85
Q000311,GB,London,sushi,12,1,0,2026-06-28,core query,71
Q000312,GB,London,brunch,38,0,0,2026-06-30,core query,76
Q000313,GB,Manchester,skydiving,0,0,0,2026-06-21,no-inventory intent,91
Q000314,GB,Manchester,facial,23,0,0,2026-06-08,core query,86
Q000315,GB,London,bowling,26,0,0,2026-06-04,core query,73
Q000316,GB,Glasgow,shark diving,0,0,0,2026-06-10,no-inventory intent,79
Q000317,GB,London,city tour,2,0,0,2026-06-28,core query,72
Q000318,GB,London,gym,0,0,0,2026-06-16,core query,88
Q000319,GB,London,thai massage,0,0,0,2026-06-25,core query,76
Q000320,GB,Manchester,go karting,20,0,0,2026-06-22,core query,73
Q000321,GB,London,couples massage,6,0,0,2026-06-03,core query,70
Q000322,GB,Birmingham,haircut,24,0,0,2026-06-10,core query,79
Q000323,GB,London,crossfit,2,0,0,2026-06-11,core query,84
Q000324,GB,London,skydiiving,0,0,0,2026-06-18,misspelling,1
Q000325,GB,Glasgow,yoga class,24,1,1,2026-06-03,core query,74
Q000326,GB,London,supercar track day,0,0,0,2026-06-27,no-inventory intent,85
Q000327,GB,London,manicure,22,0,0,2026-06-28,core query,74
Q000328,GB,London,gym,4,1,0,2026-06-05,core query,88
Q000329,GB,Manchester,crossfit,6,1,1,2026-06-07,core query,84
Q000330,GB,London,bowling,39,0,0,2026-06-16,core query,73
Q000331,GB,London,bowling,25,1,1,2026-06-09,core query,73
Q000332,GB,Birmingham,go karting,18,0,0,2026-06-30,core query,73
Q000333,GB,London,deep tissue massage,0,0,0,2026-06-28,core query,77
Q000334,GB,London,city tour,20,1,0,2026-06-07,core query,72
Q000335,GB,London,couples massage,11,1,0,2026-06-21,core query,70
Q000336,GB,London,back massage,13,0,0,2026-06-03,core query,78
Q000337,GB,London,bowling,32,1,0,2026-06-30,core query,73
Q000338,GB,London,eyelash extensions,22,0,0,2026-06-01,core query,87
Q000339,GB,Birmingham,yoga class,32,0,0,2026-06-20,core query,74
Q000340,GB,Manchester,sushi,18,1,1,2026-06-12,core query,71
Q000341,GB,London,shark diving,0,0,0,2026-06-06,no-inventory intent,79
Q000342,GB,London,yoa class,34,0,0,2026-06-23,misspelling,1
Q000343,GB,Glasgow,pilates,2,0,0,2026-06-15,core query,72
Q000344,GB,Birmingham,bowling,2,0,0,2026-06-05,core query,73
Q000345,GB,Birmingham,deep tissue massage,35,0,0,2026-06-07,core query,77
Q000346,GB,London,pizza deal,14,0,0,2026-06-08,core query,86
Q000347,GB,Birmingham,indian restaurant,29,0,0,2026-06-24,core query,85
Q000348,GB,London,city tour,1,0,0,2026-06-25,core query,72
Q000349,GB,London,facial,34,0,0,2026-06-13,core query,86
Q000350,GB,Manchester,helicopter tour,0,0,0,2026-06-08,no-inventory intent,100
Q000351,GB,London,facial,2,0,0,2026-06-03,core query,86
Q000352,GB,London,go karting,18,0,0,2026-06-11,core query,73
Q000353,GB,Birmingham,gym,10,1,0,2026-06-13,core query,88
Q000354,GB,Manchester,deep tissue massage,18,1,0,2026-06-18,core query,77
Q000355,GB,Manchester,bowling,0,0,0,2026-06-02,core query,73
Q000356,GB,Glasgow,skydiving,0,0,0,2026-06-01,no-inventory intent,91
Q000357,GB,Birmingham,yoga class,17,0,0,2026-06-26,core query,74
Q000358,GB,Birmingham,skydiving,0,0,0,2026-06-01,no-inventory intent,91
Q000359,GB,Birmingham,hair colour,2,0,0,2026-06-05,core query,85
Q000360,GB,London,eyelash extensions,18,0,0,2026-06-03,core query,87
Q000361,GB,London,shark diving,0,0,0,2026-06-06,no-inventory intent,79
Q000362,GB,Birmingham,back massage,22,0,0,2026-06-05,core query,78
Q000363,GB,London,steak dinner,9,1,1,2026-06-26,core query,85
Q000364,GB,Glasgow,thai massage,25,1,0,2026-06-28,core query,76
Q000365,GB,London,thai massage,0,0,0,2026-06-15,core query,76
Q000366,GB,Glasgow,thai massage,1,0,0,2026-06-14,core query,76
Q000367,GB,Birmingham,steak dinner,22,1,1,2026-06-16,core query,85
Q000368,GB,Manchester,facial,0,0,0,2026-06-23,core query,86
Q000369,GB,London,eyelash extensions,13,1,1,2026-06-18,core query,87
Q000370,GB,Manchester,deep tissue massage,2,1,0,2026-06-11,core query,77
Q000371,GB,London,yoga class,1,0,0,2026-06-26,core query,74
Q000372,GB,Manchester,manicure,2,0,0,2026-06-23,core query,74
Q000373,GB,London,personal trainer,12,1,1,2026-06-26,core query,72
Q000374,GB,Birmingham,hot air balloon ride,0,0,0,2026-06-04,no-inventory intent,94
Q000375,GB,Birmingham,hot air balloon ride,0,0,0,2026-06-21,no-inventory intent,94
Q000376,GB,Manchester,personal trainer,5,1,0,2026-06-10,core query,72
Q000377,GB,Glasgow,sports massage,9,1,0,2026-06-12,core query,74
Q000378,GB,London,pizza deal,24,0,0,2026-06-25,core query,86
Q000379,GB,Birmingham,helicopter tour,0,0,0,2026-06-10,no-inventory intent,100
Q000380,GB,London,personal trainer,32,0,0,2026-06-27,core query,72
Q000381,GB,London,hair colour,22,1,0,2026-06-23,core query,85
Q000382,GB,Birmingham,paintball,2,0,0,2026-06-05,core query,102
Q000383,GB,London,couples massage,0,0,0,2026-06-26,core query,70
Q000384,GB,London,pilates,2,0,0,2026-06-18,core query,72
Q000385,GB,Manchester,facial,20,0,0,2026-06-12,core query,86
Q000386,GB,Glasgow,supercar track day,0,0,0,2026-06-13,no-inventory intent,85
Q000387,GB,London,back massage,1,0,0,2026-06-25,core query,78
Q000388,GB,Birmingham,brunch,35,0,0,2026-06-15,core query,76
Q000389,GB,London,sports massage,1,0,0,2026-06-02,core query,74
Q000390,GB,Manchester,skydiving,0,0,0,2026-06-22,no-inventory intent,91
