query_id,market,city,raw_query,results_shown,clicked,purchased,date
Q000092,GB,London,escape room,0,0,0,2026-06-13
Q000093,GB,Glasgow,facial,5,0,0,2026-06-15
Q000094,GB,Manchester,escape room,25,1,0,2026-06-12
Q000095,GB,London,paintball,17,0,0,2026-06-14
Q000096,GB,Manchester,paintball,1,1,0,2026-06-30
Q000097,GB,London,thai massage,0,0,0,2026-06-27
Q000098,GB,London,city tour,1,0,0,2026-06-04
Q000099,GB,Manchester,pizza deal,0,0,0,2026-06-05
Q000100,GB,Manchester,paintball,16,1,0,2026-06-15
Q000101,GB,Manchester,pizza deal,15,1,0,2026-06-01
Q000102,GB,London,hot air balloon ride,0,0,0,2026-06-07
Q000103,GB,Birmingham,gym,2,0,0,2026-06-23
Q000104,GB,Manchester,pizza deal,16,0,0,2026-06-28
Q000105,GB,London,bowling,17,0,0,2026-06-25
Q000106,GB,London,yoga class,0,0,0,2026-06-22
Q000107,GB,London,steak dinner,2,0,0,2026-06-18
Q000108,GB,Manchester,supercar track day,0,0,0,2026-06-06
Q000109,GB,London,supercar track day,0,0,0,2026-06-03
Q000110,GB,London,facial,7,0,0,2026-06-02
Q000111,GB,Manchester,crossfit,2,0,0,2026-06-21
Q000112,GB,Manchester,paintball,2,1,1,2026-06-26
Q000113,GB,London,sports massage,0,0,0,2026-06-30
Q000114,GB,Glasgow,yog class,12,1,0,2026-06-11
Q000115,GB,Birmingham,crossfit,4,0,0,2026-06-06
Q000116,GB,Birmingham,bowling,1,0,0,2026-06-29
Q000117,GB,Glasgow,brunch,19,0,0,2026-06-03
Q000118,GB,London,steak dinner,1,0,0,2026-06-27
Q000119,GB,London,indian restaurant,13,1,0,2026-06-13
Q000120,GB,London,deep tissuue massage,12,1,0,2026-06-19
Q000121,GB,London,eyelash extensions,0,0,0,2026-06-09
Q000122,GB,Manchester,pizza deal,2,0,0,2026-06-22
Q000123,GB,Manchester,pizza deal,6,1,1,2026-06-30
Q000124,GB,London,helicopter tour,0,0,0,2026-06-19
Q000125,GB,London,pizza deal,13,1,0,2026-06-14
Q000126,GB,London,couples massage,1,0,0,2026-06-25
Q000127,GB,Birmingham,haircut,31,0,0,2026-06-22
Q000128,GB,London,thai massage,19,0,0,2026-06-29
Q000129,GB,Glasgow,escape room,1,0,0,2026-06-23
Q000130,GB,Birmingham,sports massage,20,1,1,2026-06-19
Q000131,GB,Manchester,helicopeer tour,0,0,0,2026-06-16
Q000132,GB,London,yoga class,11,1,1,2026-06-09
Q000133,GB,London,haircut,22,1,0,2026-06-24
Q000134,GB,Manchester,back massage,0,0,0,2026-06-09
Q000135,GB,Birmingham,sushi,1,0,0,2026-06-06
Q000136,GB,London,brunch,0,0,0,2026-06-13
Q000137,GB,London,gym,1,0,0,2026-06-20
Q000138,GB,London,eyelash extesions,2,0,0,2026-06-18
Q000139,GB,Glasgow,hair colour,1,0,0,2026-06-06
Q000140,GB,London,facial,23,1,0,2026-06-30
Q000141,GB,London,deep tissue massage,13,1,0,2026-06-21
Q000142,GB,Manchester,skydiving,0,0,0,2026-06-19
Q000143,GB,Birmingham,hot air billoon ride,0,0,0,2026-06-16
Q000144,GB,London,helicopter tour,0,0,0,2026-06-20
Q000145,GB,Manchester,paintball,8,0,0,2026-06-15
Q000146,GB,Glasgow,escape room,2,0,0,2026-06-17
Q000147,GB,Manchester,indian restaurant,1,0,0,2026-06-03
Q000148,GB,London,helicopter tour,0,0,0,2026-06-03
Q000149,GB,London,go karting,33,1,0,2026-06-25
Q000150,GB,Manchester,facial,25,1,0,2026-06-30
Q000151,GB,Manchester,city tour,12,1,0,2026-06-27
Q000152,GB,London,facial,32,0,0,2026-06-13
Q000153,GB,Birmingham,yoga class,19,0,0,2026-06-24
Q000154,GB,London,sushi,0,0,0,2026-06-05
Q000155,GB,Manchester,escape room,1,0,0,2026-06-27
Q000156,GB,London,deeptissue massage,2,0,0,2026-06-15
Q000157,GB,London,go karting,29,0,0,2026-06-19
Q000158,GB,London,sports massage,20,0,0,2026-06-18
Q000159,GB,Manchester,steak dinner,2,0,0,2026-06-26
Q000160,GB,London,facial,18,1,0,2026-06-13
Q000161,GB,London,city tour,2,0,0,2026-06-30
Q000162,GB,Birmingham,helicopter tour,0,0,0,2026-06-23
Q000163,GB,Birmingham,hair colour,12,0,0,2026-06-16
Q000164,GB,London,facial,1,0,0,2026-06-18
Q000165,GB,Glasgow,sports massage,22,1,1,2026-06-15
Q000166,GB,London,hot air balloon ride,0,0,0,2026-06-17
Q000167,GB,London,supercar track day,0,0,0,2026-06-21
Q000168,GB,Glasgow,personal trainer,2,0,0,2026-06-10
Q000169,GB,Glasgow,couples massage,12,0,0,2026-06-09
Q000170,GB,Manchester,thai massage,19,1,1,2026-06-04
Q000171,GB,London,manicure,19,1,0,2026-06-19
Q000172,GB,Manchester,shark diving,0,0,0,2026-06-15
Q000173,GB,Glasgow,manicure,7,1,0,2026-06-12
Q000174,GB,London,bowling,21,0,0,2026-06-25
Q000175,GB,Glasgow,deep tissue massage,2,0,0,2026-06-25
Q000176,GB,Manchester,city tour,1,0,0,2026-06-17
Q000177,GB,London,sports massage,28,1,0,2026-06-01
Q000178,GB,Manchester,hair colour,11,1,0,2026-06-14
Q000179,GB,Manchester,skydiving,0,0,0,2026-06-18
Q000180,GB,Birmingham,escape room,17,1,0,2026-06-03
Q000181,GB,London,supercar track day,0,0,0,2026-06-24
Q000182,GB,London,eyelash extensions,0,0,0,2026-06-08
Q000183,GB,Birmingham,haircut,8,1,1,2026-06-23
Q000184,GB,London,steak dinner,7,1,0,2026-06-11
Q000185,GB,London,couples massage,25,0,0,2026-06-24
Q000186,GB,London,supercar track day,0,0,0,2026-06-14
Q000187,GB,Glasgow,sports massage,38,0,0,2026-06-02
Q000188,GB,Glasgow,helicopter tour,0,0,0,2026-06-24
Q000189,GB,Birmingham,steak dinner,10,1,0,2026-06-25
Q000190,GB,London,thai massage,13,1,1,2026-06-27
Q000191,GB,London,go karting,10,0,0,2026-06-27
Q000192,GB,Glasgow,pizza deal,2,0,0,2026-06-22
Q000193,GB,Manchester,helicopter tour,0,0,0,2026-06-01
Q000194,GB,London,couples massage,23,1,0,2026-06-18
Q000195,GB,London,yoga class,17,1,1,2026-06-21
Q000196,GB,Birmingham,hair colour,1,0,0,2026-06-05
Q000197,GB,London,sports massage,11,1,1,2026-06-15
Q000198,GB,Manchester,manicure,2,1,0,2026-06-09
Q000199,GB,Manchester,susshi,0,0,0,2026-06-04
Q000200,GB,Manchester,city tour,1,0,0,2026-06-30
Q000201,GB,London,couples massage,13,1,0,2026-06-02
Q000202,GB,Birmingham,shark diving,0,0,0,2026-06-22
Q000203,GB,London,manicure,23,1,0,2026-06-19
Q000204,GB,Manchester,steak dinner,12,1,0,2026-06-09
Q000205,GB,Birmingham,sushi,38,0,0,2026-06-17
Q000206,GB,Glasgow,deep tissue massage,1,0,0,2026-06-16
Q000207,GB,Manchester,paintball,1,0,0,2026-06-30
Q000208,GB,Birmingham,brunch,4,0,0,2026-06-19
Q000209,GB,London,steak dinner,19,0,0,2026-06-27
Q000210,GB,Manchester,thai massage,12,1,0,2026-06-11
Q000211,GB,Birmingham,facial,6,1,0,2026-06-06
Q000212,GB,London,indian restaurant,25,0,0,2026-06-08
Q000213,GB,Manchester,facial,14,0,0,2026-06-07
Q000214,GB,Birmingham,bowling,11,1,1,2026-06-23
Q000215,GB,London,bowling,0,0,0,2026-06-03
Q000216,GB,London,escape room,0,0,0,2026-06-07
Q000217,GB,London,brunah,17,0,0,2026-06-27
Q000218,GB,Manchester,helicopter tour,0,0,0,2026-06-22
Q000219,GB,London,pilates,12,1,1,2026-06-20
Q000220,GB,London,back massage,4,0,0,2026-06-26
Q000221,GB,Manchester,personal trainer,2,0,0,2026-06-09
Q000222,GB,London,shark diving,0,0,0,2026-06-20
Q000223,GB,London,thai massage,1,0,0,2026-06-11
Q000224,GB,London,helicopter tour,0,0,0,2026-06-28
Q000225,GB,Manchester,personai trainer,2,0,0,2026-06-25
Q000226,GB,London,paintball,2,0,0,2026-06-02
Q000227,GB,London,couples massage,40,0,0,2026-06-29
Q000228,GB,Manchester,paintball,24,1,1,2026-06-20
Q000229,GB,Birmingham,gym,17,1,0,2026-06-04
Q000230,GB,Birmingham,crossfit,19,1,0,2026-06-04
Q000231,GB,Manchester,deep tissue massage,23,1,0,2026-06-18
Q000232,GB,Birmingham,manicure,0,0,0,2026-06-20
Q000233,GB,Glasgow,paintball,1,0,0,2026-06-19
Q000234,GB,Manchester,sports massage,23,0,0,2026-06-22
Q000235,GB,London,paintball,1,0,0,2026-06-07
Q000236,GB,Glasgow,deep tissue massage,25,0,0,2026-06-26
Q000237,GB,Manchester,crossfit,1,0,0,2026-06-06
Q000238,GB,London,shark diving,0,0,0,2026-06-29
Q000239,GB,London,yoga class,17,1,0,2026-06-14
Q000240,GB,London,paintball,22,1,1,2026-06-28
Q000241,GB,London,back massage,8,1,0,2026-06-06
Q000242,GB,London,paintball,1,0,0,2026-06-26
Q000243,GB,London,bowling,0,0,0,2026-06-08
Q000244,GB,Manchester,city touur,1,0,0,2026-06-24
Q000245,GB,Birmingham,haircut,16,0,0,2026-06-26
Q000246,GB,London,helicopter tour,0,0,0,2026-06-07
Q000247,GB,Glasgow,indian restaurant,36,0,0,2026-06-03
Q000248,GB,Birmingham,skydiving,0,0,0,2026-06-30
Q000249,GB,London,facial,30,0,0,2026-06-29
Q000250,GB,Manchester,crossfit,29,0,0,2026-06-09
Q000251,GB,London,hair colour,2,1,0,2026-06-13
Q000252,GB,Manchester,helicopter tour,0,0,0,2026-06-21
Q000253,GB,Birmingham,bowling,1,0,0,2026-06-03
Q000254,GB,Birmingham,escape room,14,0,0,2026-06-27
Q000255,GB,Birmingham,manicure,1,1,0,2026-06-04
Q000256,GB,Birmingham,yoga class,0,0,0,2026-06-09
Q000257,GB,London,brunch,8,0,0,2026-06-08
Q000258,GB,Birmingham,brunch,20,1,1,2026-06-19
Q000259,GB,Manchester,gym,11,1,0,2026-06-03
Q000260,GB,Manchester,manicure,24,0,0,2026-06-19
Q000261,GB,London,gym,1,0,0,2026-06-05
Q000262,GB,London,hot air balloon ride,0,0,0,2026-06-08
Q000263,GB,Glasgow,bowling,24,0,0,2026-06-10
Q000264,GB,London,personal trainer,27,0,0,2026-06-03
Q000265,GB,Birmingham,hair colour,2,0,0,2026-06-08
Q000266,GB,London,crossfit,22,1,0,2026-06-10
Q000267,GB,Birmingham,hot air balloon ride,0,0,0,2026-06-24
Q000268,GB,Glasgow,deep tissue massage,11,1,0,2026-06-26
Q000269,GB,Manchester,deep tissue massage,14,1,1,2026-06-22
Q000270,GB,London,hot air ballooon ride,0,0,0,2026-06-07
Q000271,GB,London,couples massagge,20,0,0,2026-06-06
Q000272,GB,London,thai massage,0,0,0,2026-06-29
Q000273,GB,London,steak dinner,2,0,0,2026-06-09
Q000274,GB,Manchester,thai massage,25,1,0,2026-06-11
Q000275,GB,London,pizza deal,6,1,0,2026-06-25
Q000276,GB,Glasgow,skydiving,0,0,0,2026-06-21
Q000277,GB,London,pizza deal,16,0,0,2026-06-22
Q000278,GB,London,pilates,13,1,1,2026-06-28
Q000279,GB,Manchester,city tour,22,0,0,2026-06-16
Q000280,GB,Glasgow,back massage,23,1,0,2026-06-29
Q000281,GB,Manchester,paintball,2,0,0,2026-06-28
Q000282,GB,Birmingham,manicure,1,0,0,2026-06-29
Q000283,GB,London,personal trainer,24,0,0,2026-06-24
Q000284,GB,London,paintball,7,1,0,2026-06-21
Q000285,GB,Manchester,gym,25,0,0,2026-06-14
Q000286,GB,Manchester,gym,26,1,0,2026-06-29
Q000287,GB,London,thai massage,1,0,0,2026-06-28
Q000288,GB,London,skydiving,0,0,0,2026-06-19
Q000289,GB,Manchester,escape room,13,1,1,2026-06-17
Q000290,GB,Birmingham,hair colour,16,1,0,2026-06-22
Q000291,GB,Birmingham,city tour,0,0,0,2026-06-22
Q000292,GB,London,hot air balloon ride,0,0,0,2026-06-27
Q000293,GB,Birmingham,shark diving,0,0,0,2026-06-28
Q000294,GB,London,hot air balloon ride,0,0,0,2026-06-18
Q000295,GB,Birmingham,escape room,13,0,0,2026-06-29
Q000296,GB,London,susshi,0,0,0,2026-06-12
Q000297,GB,London,gym,8,1,1,2026-06-01
Q000298,GB,Glasgow,manicure,23,0,0,2026-06-08
Q000299,GB,London,go karting,20,0,0,2026-06-08
Q000300,GB,Manchester,pizza deal,10,1,1,2026-06-28
Q000301,GB,Birmingham,deep tissue massage,2,0,0,2026-06-24
Q000302,GB,Birmingham,personal trainer,2,1,0,2026-06-29
Q000303,GB,London,pizza deal,0,0,0,2026-06-22
Q000304,GB,Manchester,paintball,20,0,0,2026-06-04
Q000305,GB,London,gym,2,0,0,2026-06-05
Q000306,GB,Birmingham,haircut,13,1,0,2026-06-16
Q000307,GB,Manchester,hair colour,1,0,0,2026-06-17
Q000308,GB,London,couples massage,6,0,0,2026-06-03
Q000309,GB,Glasgow,sports assage,12,1,0,2026-06-06
Q000310,GB,London,supercar track day,0,0,0,2026-06-05
Q000311,GB,London,sushi,12,1,0,2026-06-28
Q000312,GB,London,brunch,38,0,0,2026-06-30
Q000313,GB,Manchester,skydiving,0,0,0,2026-06-21
Q000314,GB,Manchester,facial,23,0,0,2026-06-08
Q000315,GB,London,bowling,26,0,0,2026-06-04
Q000316,GB,Glasgow,shark diving,0,0,0,2026-06-10
Q000317,GB,London,city tour,2,0,0,2026-06-28
Q000318,GB,London,gym,0,0,0,2026-06-16
Q000319,GB,London,thai massage,0,0,0,2026-06-25
Q000320,GB,Manchester,go karting,20,0,0,2026-06-22
Q000321,GB,London,couples massage,6,0,0,2026-06-03
Q000322,GB,Birmingham,haircut,24,0,0,2026-06-10
Q000323,GB,London,crossfit,2,0,0,2026-06-11
Q000324,GB,London,skydiiving,0,0,0,2026-06-18
Q000325,GB,Glasgow,yoga class,24,1,1,2026-06-03
Q000326,GB,London,supercar track day,0,0,0,2026-06-27
Q000327,GB,London,manicure,22,0,0,2026-06-28
Q000328,GB,London,gym,4,1,0,2026-06-05
Q000329,GB,Manchester,crossfit,6,1,1,2026-06-07
Q000330,GB,London,bowling,39,0,0,2026-06-16
Q000331,GB,London,bowling,25,1,1,2026-06-09
Q000332,GB,Birmingham,go karting,18,0,0,2026-06-30
Q000333,GB,London,deep tissue massage,0,0,0,2026-06-28
Q000334,GB,London,city tour,20,1,0,2026-06-07
Q000335,GB,London,couples massage,11,1,0,2026-06-21
Q000336,GB,London,back massage,13,0,0,2026-06-03
Q000337,GB,London,bowling,32,1,0,2026-06-30
Q000338,GB,London,eyelash extensions,22,0,0,2026-06-01
Q000339,GB,Birmingham,yoga class,32,0,0,2026-06-20
Q000340,GB,Manchester,sushi,18,1,1,2026-06-12
Q000341,GB,London,shark diving,0,0,0,2026-06-06
Q000342,GB,London,yoa class,34,0,0,2026-06-23
Q000343,GB,Glasgow,pilates,2,0,0,2026-06-15
Q000344,GB,Birmingham,bowling,2,0,0,2026-06-05
Q000345,GB,Birmingham,deep tissue massage,35,0,0,2026-06-07
Q000346,GB,London,pizza deal,14,0,0,2026-06-08
Q000347,GB,Birmingham,indian restaurant,29,0,0,2026-06-24
Q000348,GB,London,city tour,1,0,0,2026-06-25
Q000349,GB,London,facial,34,0,0,2026-06-13
Q000350,GB,Manchester,helicopter tour,0,0,0,2026-06-08
Q000351,GB,London,facial,2,0,0,2026-06-03
Q000352,GB,London,go karting,18,0,0,2026-06-11
Q000353,GB,Birmingham,gym,10,1,0,2026-06-13
Q000354,GB,Manchester,deep tissue massage,18,1,0,2026-06-18
Q000355,GB,Manchester,bowling,0,0,0,2026-06-02
Q000356,GB,Glasgow,skydiving,0,0,0,2026-06-01
Q000357,GB,Birmingham,yoga class,17,0,0,2026-06-26
Q000358,GB,Birmingham,skydiving,0,0,0,2026-06-01
Q000359,GB,Birmingham,hair colour,2,0,0,2026-06-05
Q000360,GB,London,eyelash extensions,18,0,0,2026-06-03
Q000361,GB,London,shark diving,0,0,0,2026-06-06
Q000362,GB,Birmingham,back massage,22,0,0,2026-06-05
Q000363,GB,London,steak dinner,9,1,1,2026-06-26
Q000364,GB,Glasgow,thai massage,25,1,0,2026-06-28
Q000365,GB,London,thai massage,0,0,0,2026-06-15
Q000366,GB,Glasgow,thai massage,1,0,0,2026-06-14
Q000367,GB,Birmingham,steak dinner,22,1,1,2026-06-16
Q000368,GB,Manchester,facial,0,0,0,2026-06-23
Q000369,GB,London,eyelash extensions,13,1,1,2026-06-18
Q000370,GB,Manchester,deep tissue massage,2,1,0,2026-06-11
Q000371,GB,London,yoga class,1,0,0,2026-06-26
Q000372,GB,Manchester,manicure,2,0,0,2026-06-23
Q000373,GB,London,personal trainer,12,1,1,2026-06-26
Q000374,GB,Birmingham,hot air balloon ride,0,0,0,2026-06-04
Q000375,GB,Birmingham,hot air balloon ride,0,0,0,2026-06-21
Q000376,GB,Manchester,personal trainer,5,1,0,2026-06-10
Q000377,GB,Glasgow,sports massage,9,1,0,2026-06-12
Q000378,GB,London,pizza deal,24,0,0,2026-06-25
Q000379,GB,Birmingham,helicopter tour,0,0,0,2026-06-10
Q000380,GB,London,personal trainer,32,0,0,2026-06-27
Q000381,GB,London,hair colour,22,1,0,2026-06-23
Q000382,GB,Birmingham,paintball,2,0,0,2026-06-05
Q000383,GB,London,couples massage,0,0,0,2026-06-26
Q000384,GB,London,pilates,2,0,0,2026-06-18
Q000385,GB,Manchester,facial,20,0,0,2026-06-12
Q000386,GB,Glasgow,supercar track day,0,0,0,2026-06-13
Q000387,GB,London,back massage,1,0,0,2026-06-25
Q000388,GB,Birmingham,brunch,35,0,0,2026-06-15
Q000389,GB,London,sports massage,1,0,0,2026-06-02
Q000390,GB,Manchester,skydiving,0,0,0,2026-06-22
Q000391,GB,London,paintball,2,0,0,2026-06-14
Q000392,GB,Glasgow,paintball,23,0,0,2026-06-03
Q000393,GB,Birmingham,go karting,2,1,1,2026-06-07
Q000394,GB,London,gym,24,1,0,2026-06-16
Q000395,GB,Glasgow,susshi,31,0,0,2026-06-11
Q000396,GB,London,sports massage,2,0,0,2026-06-29
Q000397,GB,Birmingham,brunch,7,1,0,2026-06-22
Q000398,GB,London,shark diving,0,0,0,2026-06-21
Q000399,GB,London,supercar track day,0,0,0,2026-06-06
Q000400,GB,Glasgow,haircut,13,1,0,2026-06-01
Q000401,GB,Birmingham,eyelash extensions,4,1,1,2026-06-11
Q000402,GB,Birmingham,couples massage,17,0,0,2026-06-04
Q000403,GB,London,crossfit,10,0,0,2026-06-19
Q000404,GB,Glasgow,paintball,8,1,0,2026-06-20
Q000405,GB,Glasgow,hot air balloon ride,0,0,0,2026-06-08
Q000406,GB,Manchester,back massage,2,0,0,2026-06-06
Q000407,GB,Birmingham,personal trainer,0,0,0,2026-06-10
Q000408,GB,London,facial,24,0,0,2026-06-30
Q000409,GB,London,go karting,21,0,0,2026-06-22
Q000410,GB,London,thai massage,0,0,0,2026-06-28
Q000411,GB,London,hot air balloon ride,0,0,0,2026-06-15
Q000412,GB,London,escape room,20,1,0,2026-06-28
Q000413,GB,Birmingham,eyelash extensions,25,1,0,2026-06-02
Q000414,GB,Birmingham,helicopter tour,0,0,0,2026-06-06
Q000415,GB,Manchester,hot air balloon ride,0,0,0,2026-06-07
Q000416,GB,London,shark diving,0,0,0,2026-06-09
Q000417,GB,Birmingham,crossfit,2,0,0,2026-06-07
Q000418,GB,Birmingham,pilates,22,0,0,2026-06-28
Q000419,GB,Glasgow,crossfit,14,1,0,2026-06-23
Q000420,GB,London,haircut,4,1,0,2026-06-01
Q000421,GB,London,bowling,18,1,1,2026-06-26
Q000422,GB,Birmingham,brunch,1,1,0,2026-06-25
Q000423,GB,Glasgow,supercar track day,0,0,0,2026-06-16
Q000424,GB,Manchester,hot air balloon ride,0,0,0,2026-06-11
Q000425,GB,Glasgow,shark diving,0,0,0,2026-06-16
Q000426,GB,London,pizza deal,14,1,0,2026-06-26
Q000427,GB,Manchester,pilates,13,0,0,2026-06-27
Q000428,GB,Glasgow,back massage,11,1,1,2026-06-30
Q000429,GB,Birmingham,yoga class,13,0,0,2026-06-03
Q000430,GB,Glasgow,pizza deal,11,1,0,2026-06-07
Q000431,GB,Birmingham,sports massage,22,0,0,2026-06-12
Q000432,GB,London,thai massage,2,0,0,2026-06-14
Q000433,GB,London,couples massage,15,0,0,2026-06-30
Q000434,GB,London,supercar track day,0,0,0,2026-06-21
Q000435,GB,London,supercar track day,0,0,0,2026-06-25
Q000436,GB,Birmingham,gym,4,1,1,2026-06-08
Q000437,GB,London,go karting,9,1,0,2026-06-07
Q000438,GB,Manchester,city tour,0,0,0,2026-06-19
Q000439,GB,Glasgow,deep tissue massage,13,1,0,2026-06-10
Q000440,GB,Manchester,haircut,16,0,0,2026-06-13
Q000441,GB,London,thaai massage,1,0,0,2026-06-23
Q000442,GB,Manchester,couples massage,0,0,0,2026-06-14
Q000443,GB,London,hot air balloon ride,0,0,0,2026-06-03
Q000444,GB,London,manicure,17,0,0,2026-06-08
Q000445,GB,Glasgow,escape room,5,1,1,2026-06-19
Q000446,GB,London,couples massage,9,0,0,2026-06-06
Q000447,GB,Manchester,manicure,2,0,0,2026-06-20
Q000448,GB,London,susui,38,0,0,2026-06-02
Q000449,GB,London,haircut,25,0,0,2026-06-14
Q000450,GB,Manchester,skydiving,0,0,0,2026-06-28
Q000451,GB,London,skydiving,0,0,0,2026-06-25
Q000452,GB,Manchester,bowling,40,0,0,2026-06-13
Q000453,GB,Birmingham,haircut,21,0,0,2026-06-27
Q000454,GB,Birmingham,hot air balloon ride,0,0,0,2026-06-20
Q000455,GB,Manchester,supercar track day,0,0,0,2026-06-06
Q000456,GB,Birmingham,go karting,13,0,0,2026-06-30
Q000457,GB,Manchester,shark diving,0,0,0,2026-06-03
Q000458,GB,Birmingham,eyelash extensions,2,0,0,2026-06-20
Q000459,GB,London,supercar track day,0,0,0,2026-06-01
Q000460,GB,Birmingham,brunch,0,0,0,2026-06-01
Q000461,GB,London,eyelash extensions,13,1,1,2026-06-07
Q000462,GB,London,go krting,1,0,0,2026-06-27
Q000463,GB,London,escape room,25,1,0,2026-06-20
Q000464,GB,London,steak dinner,0,0,0,2026-06-20
Q000465,GB,London,thai massage,22,0,0,2026-06-10
Q000466,GB,London,paintball,21,1,0,2026-06-18
